rs value	gene name
rs62241238	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : Non Coding Transcript Variant</span>
</dd>"
rs181807504	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : Non Coding Transcript Variant</span>
</dd>"
rs145225112	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : Non Coding Transcript Variant</span>
</dd>"
rs186404819	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : Non Coding Transcript Variant</span>
</dd>"
rs190362153	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : Non Coding Transcript Variant</span>
</dd>"
rs149191993	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : Non Coding Transcript Variant</span>
</dd>"
rs182055108	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : 500B Downstream Variant</span>
</dd>"
rs62241239	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : 500B Downstream Variant</span>
</dd>"
rs147926971	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : 500B Downstream Variant</span>
</dd>"
rs144337033	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : 500B Downstream Variant</span>
</dd>"
rs117410796	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : 500B Downstream Variant</span>
</dd>"
rs186154432	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : 500B Downstream Variant</span>
</dd>"
rs191448783	"<dd>
<div>DENND6B : Intron Variant</div><span>LOC105373096 : 500B Downstream Variant</span>
</dd>"
rs147109372	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs183166435	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs187860880	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs148199952	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs189968317	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs140060628	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs183325623	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs187966578	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs150326382	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs192045068	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs137958499	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs185299766	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs187824834	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs72490267	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs146012124	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs111715507	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs192897367	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs184883011	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs188087715	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs180904341	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs141872692	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs62241241	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs62241242	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
rs112558821	"<dd>
<span>DENND6B : Intron Variant</span>
</dd>"
