rs value	gene name
rs181811374	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs149535814	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs116275587	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs144095314	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs186002530	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs148694657	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs137905	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs188466598	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs932330	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs181270675	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs55893511	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs184952677	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs191072413	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs6010247	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs143557157	"<dd>
<span>TTLL8 : Missense Variant</span>
</dd>"
rs59727397	"<dd>
<span>TTLL8 : Missense Variant</span>
</dd>"
rs137906	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs146310696	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs75102543	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs139603468	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs56043892	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs187383278	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs75696883	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs192064624	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs182946597	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs137907	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs5771323	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs112009312	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs73893120	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs146605104	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs80223445	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs141017769	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs149828213	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs145849189	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs149013540	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs145747152	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs137908	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs137909	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs137910	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs138687986	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs137911	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs187585851	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs141219698	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs113127908	"<dd>
<span>TTLL8 : Missense Variant</span>
</dd>"
rs115120621	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs191656346	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs116695156	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs146970039	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs141716888	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs78897650	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs182707571	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs137912	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs116551533	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs187437488	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs138632762	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs114409591	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs192707644	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs117334902	"<dd>
<span>TTLL8 : Missense Variant</span>
</dd>"
rs184510799	"<dd>
<span>TTLL8 : Missense Variant</span>
</dd>"
rs80098710	"<dd>
<span>TTLL8 : Missense Variant</span>
</dd>"
rs190576024	"<dd>
<span>TTLL8 : Missense Variant</span>
</dd>"
rs144203289	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs192619614	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs115295105	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs144263791	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs8143094	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs148748460	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs184242945	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs9628318	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs189002279	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs71316581	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs186579177	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs189790964	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs139403821	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs145706070	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs147770733	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs141076077	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs146933699	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs180822610	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs137914	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs144932449	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs186054441	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs192166713	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs113052954	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs116777408	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
rs112368187	"<dd>
<span>TTLL8 : Intron Variant</span>
</dd>"
