rs value	gene name
rs182106444	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs116160291	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs6010195	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs6010196	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs6010197	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs146048623	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs192489068	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs184037862	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs116034536	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs188898393	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs79526629	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs34564312	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs62239297	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs138867645	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs112912786	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs118178636	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs6010198	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs146330066	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs76673347	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs193083783	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs184396327	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs139723619	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs142911435	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs9628300	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs188444648	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs191684685	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs183481111	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
rs189407024	"<dd>
<span>PANX2 : Intron Variant</span>
</dd>"
